,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[94,95]","[8.091647,11.089954]","[8.429658,11.057064]","[8.782988,10.708375]","[8.692453,10.468401]","[8.609572,10.015840]","[8.546502,9.557095]","[8.321984,9.446673]","[8.120409,9.548269]","[8.185845,9.569518]","[8.157626,9.814430]","[8.364625,9.937730]","[8.494729,10.238115]"
"[95,96]","[8.103068,11.040897]","[8.420314,11.021330]","[8.733458,10.695146]","[8.668948,10.416888]","[8.565483,9.988628]","[8.537686,9.509652]","[8.251182,9.472626]","[8.091033,9.530252]","[8.169195,9.526609]","[8.159470,9.745428]","[8.364666,9.876801]","[8.480735,10.206025]"
"[96,97]","[8.123355,10.945245]","[8.335314,10.995934]","[8.616575,10.699266]","[8.589111,10.418087]","[8.569846,9.951856]","[8.551910,9.490516]","[8.289472,9.427627]","[8.079790,9.519425]","[8.142468,9.524903]","[8.151797,9.732201]","[8.323676,9.901055]","[8.476264,10.174995]"
"[97,98]","[8.134436,10.900735]","[8.388621,10.930844]","[8.711304,10.603587]","[8.616418,10.381379]","[8.582650,9.909709]","[8.511853,9.486239]","[8.260548,9.411766]","[8.130089,9.433017]","[8.129875,9.505771]","[8.139939,9.705680]","[8.350614,9.825357]","[8.453992,10.148280]"
"[98,99]","[8.090294,10.932660]","[8.436253,10.844608]","[8.686088,10.561632]","[8.542548,10.377130]","[8.531194,9.895407]","[8.519632,9.435677]","[8.263606,9.381215]","[8.072205,9.464158]","[8.111711,9.492584]","[8.120165,9.697515]","[8.335247,9.826062]","[8.444537,10.153272]"
"[99,100]","[8.062783,10.860124]","[8.363123,10.831357]","[8.686371,10.500950]","[8.515783,10.366282]","[8.522571,9.873378]","[8.498732,9.417224]","[8.231728,9.360256]","[8.009589,9.465808]","[8.164178,9.376527]","[8.152494,9.596630]","[8.335642,9.744613]","[8.499783,10.002316]"
"[100,101]","[8.049839,10.811866]","[8.321400,10.796278]","[8.636447,10.480151]","[8.498930,10.336576]","[8.498204,9.872852]","[8.488632,9.403647]","[8.210926,9.339788]","[8.001407,9.415139]","[8.103337,9.377806]","[8.142662,9.561284]","[8.305312,9.741280]","[8.446302,10.015550]"
"[101,102]","[8.020381,10.807014]","[8.295099,10.781544]","[8.576836,10.516538]","[8.500473,10.328751]","[8.491022,9.864504]","[8.498308,9.345332]","[8.169711,9.304898]","[8.011134,9.335626]","[8.019445,9.430470]","[8.106877,9.605676]","[8.322879,9.741974]","[8.446000,10.010852]"
"[102,103]","[8.016622,10.766082]","[8.255293,10.751016]","[8.559196,10.431844]","[8.446636,10.278970]","[8.490784,9.802165]","[8.499328,9.336879]","[8.184545,9.308604]","[8.010569,9.333307]","[8.022736,9.378442]","[8.067705,9.566609]","[8.231876,9.760764]","[8.398173,10.009175]"
"[103,108]","[7.223368,8.753140]","[7.521199,8.612715]","[7.518453,8.572910]","[7.250917,8.591683]","[7.275319,8.214669]","[7.150146,8.031222]","[7.107375,7.909717]","[7.137541,7.867930]","[7.086235,8.010024]","[7.100127,8.147345]","[7.107604,8.346696]","[7.326730,8.387952]"
"[108,113]","[10.335087,11.587027]","[9.645927,11.351973]","[10.063197,11.127545]","[10.168249,11.904947]","[10.176181,12.929896]","[10.062660,14.023006]","[8.721994,16.403262]","[8.610337,17.638685]","[10.319228,16.763582]","[9.784303,17.243132]","[10.948324,14.846679]","[10.703986,13.084797]"
"[113,118]","[10.374152,11.632175]","[9.654942,11.359583]","[10.061360,11.031838]","[10.163844,11.639744]","[9.965394,12.518612]","[10.004840,12.893627]","[8.474817,14.878778]","[8.556572,15.642209]","[9.622355,15.638868]","[9.346082,16.492482]","[10.776525,14.528238]","[10.680547,13.068640]"
"[118,123]","[10.385972,11.643108]","[9.696805,11.402720]","[10.078581,11.001275]","[10.063923,11.502092]","[9.823996,12.087875]","[9.839453,12.078770]","[8.793898,13.198803]","[8.288522,14.342687]","[9.137924,14.631266]","[9.288987,15.403407]","[10.430062,14.207522]","[10.522231,12.990687]"
"[123,128]","[10.387664,11.695207]","[9.732355,11.429012]","[10.054336,10.931124]","[9.967685,11.336609]","[9.789986,11.711490]","[9.640291,11.650912]","[8.743614,12.284195]","[8.463308,12.849522]","[8.831584,13.471280]","[9.155851,14.278791]","[9.900314,13.973628]","[10.251270,13.018817]"
"[128,133]","[10.437372,11.534851]","[9.396514,11.354812]","[9.343833,11.075363]","[9.955860,11.892981]","[11.841434,13.661707]","[14.103792,16.361080]","[16.368105,18.252425]","[16.179879,19.830778]","[15.791397,18.409428]","[14.674365,15.785626]","[11.665942,14.970519]","[10.837045,12.979646]"
"[133,138]","[10.307550,11.707588]","[9.772067,11.460534]","[10.063544,10.906257]","[9.825625,11.255849]","[9.740743,11.333452]","[9.409602,11.292491]","[8.711759,11.568794]","[8.556426,11.829602]","[8.732459,12.505618]","[9.132787,13.259929]","[9.371521,13.705535]","[9.801899,13.058010]"
"[138,143]","[10.164882,11.722777]","[9.787337,11.489013]","[10.037895,10.904139]","[9.678915,11.180257]","[9.618042,11.082727]","[9.200889,11.074297]","[8.655407,11.156167]","[8.670825,11.112534]","[8.690955,11.741226]","[8.916669,12.552405]","[8.978032,13.288970]","[9.285204,13.092875]"
"[143,148]","[9.979505,11.750307]","[9.796198,11.522120]","[10.012281,10.914671]","[9.554624,11.088816]","[9.473470,10.871625]","[9.086216,10.844130]","[8.680236,10.847231]","[8.342716,11.100345]","[8.488991,11.392267]","[8.839776,11.867725]","[8.697326,12.804420]","[8.882254,12.987409]"
"[148,153]","[9.673707,11.767095]","[9.697386,11.558563]","[9.963536,10.935550]","[9.497683,10.990984]","[9.350265,10.701218]","[8.943248,10.655414]","[8.684857,10.543844]","[8.410579,10.713336]","[8.330853,11.087541]","[8.693127,11.362941]","[8.587657,12.195235]","[8.555221,12.742877]"
"[153,158]","[9.371929,11.744992]","[9.623207,11.531025]","[9.897570,10.967195]","[9.504135,10.866422]","[9.255096,10.564826]","[8.876474,10.455347]","[8.576324,10.416245]","[8.379627,10.497548]","[8.297094,10.748044]","[8.629548,10.866379]","[8.627800,11.496845]","[8.336012,12.398237]"
"[158,163]","[9.050032,11.715145]","[9.460170,11.527368]","[9.801564,10.996822]","[9.502229,10.777261]","[9.184054,10.458149]","[8.731373,10.367148]","[8.584505,10.178529]","[8.403854,10.249464]","[8.273756,10.483785]","[8.464040,10.614822]","[8.616398,10.987103]","[8.362220,11.869894]"
"[163,168]","[8.744519,11.685776]","[9.274139,11.498796]","[9.623040,11.039140]","[9.402270,10.734979]","[9.076981,10.364850]","[8.650054,10.205702]","[8.475608,10.050909]","[8.386261,10.053041]","[8.240767,10.283219]","[8.376751,10.390671]","[8.610257,10.597158]","[8.384639,11.434922]"
"[168,173]","[8.499215,11.605836]","[8.975505,11.521149]","[9.416934,11.037621]","[9.286010,10.688131]","[8.965181,10.312502]","[8.572364,10.088871]","[8.440862,9.865006]","[8.350185,9.863071]","[8.294024,10.004754]","[8.295667,10.227957]","[8.550310,10.370781]","[8.479468,11.014648]"
"[173,178]","[8.314029,11.435067]","[8.691010,11.436026]","[9.103463,11.014242]","[9.054223,10.637429]","[8.818550,10.219494]","[8.565205,9.873771]","[8.389146,9.697771]","[8.266462,9.734732]","[8.251608,9.846209]","[8.250195,10.068751]","[8.482802,10.197533]","[8.515056,10.677056]"
"[178,183]","[8.183332,11.255313]","[8.551160,11.248297]","[8.933535,10.876531]","[8.870881,10.554516]","[8.682341,10.128988]","[8.559891,9.677557]","[8.366347,9.533414]","[8.172076,9.653863]","[8.202963,9.727754]","[8.246456,9.897329]","[8.444731,10.026131]","[8.507369,10.421986]"
"[183,188]","[10.476878,11.480862]","[9.695773,11.405056]","[9.761351,11.449547]","[10.433958,12.163442]","[11.673269,13.842391]","[12.698920,16.772702]","[15.023512,18.042829]","[15.561678,19.148099]","[14.003698,19.669988]","[13.026509,17.548126]","[11.979920,14.889928]","[10.889751,12.950158]"
"[188,193]","[8.116277,11.014296]","[8.390682,11.030292]","[8.707958,10.704729]","[8.648474,10.435706]","[8.579601,9.987419]","[8.539028,9.528045]","[8.286855,9.455196]","[8.105857,9.529644]","[8.163108,9.545571]","[8.142033,9.776192]","[8.361692,9.889842]","[8.476430,10.210160]"
"[193,198]","[8.041252,10.846765]","[8.325522,10.810061]","[8.624273,10.498604]","[8.489939,10.340865]","[8.497563,9.863219]","[8.498364,9.386042]","[8.202275,9.349544]","[7.993410,9.435570]","[8.076747,9.426404]","[8.114573,9.617388]","[8.306346,9.770910]","[8.436999,10.055168]"
