,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[26,27]","[31.446901,33.434028]","[32.524880,32.752492]","[32.288618,33.151211]","[32.466886,32.679913]","[31.113194,33.462306]","[31.467167,32.688518]","[29.468556,34.709259]","[31.839224,32.698033]","[31.686175,33.174851]","[31.996999,32.887398]","[31.984073,32.715738]","[30.992226,33.641172]"
"[27,28]","[31.604115,33.333387]","[32.551447,32.774177]","[32.338194,33.133330]","[32.479060,32.687271]","[31.111875,33.483847]","[31.506821,32.679456]","[29.440863,34.776621]","[31.891586,32.685495]","[31.683190,33.211838]","[32.003543,32.912811]","[31.995260,32.743984]","[30.968853,33.715988]"
"[28,29]","[31.568580,33.323848]","[32.543193,32.763931]","[32.348148,33.162801]","[32.511667,32.709313]","[31.139394,33.447946]","[31.489641,32.590903]","[28.900053,35.164640]","[31.856233,32.615377]","[31.675932,33.215597]","[32.057326,32.926301]","[31.979798,32.815855]","[30.926367,33.752339]"
"[29,30]","[31.538056,33.328839]","[32.531474,32.752655]","[32.347643,33.164562]","[32.531433,32.712583]","[31.179598,33.429692]","[31.519624,32.562342]","[28.994231,35.055102]","[31.867926,32.594340]","[31.679022,33.227236]","[32.074782,32.941566]","[31.969807,32.851098]","[30.883379,33.792784]"
"[30,31]","[31.579599,33.352369]","[32.537053,32.762819]","[32.317453,33.136138]","[32.514684,32.672430]","[31.226645,33.443739]","[31.667397,32.637828]","[29.685315,34.668988]","[32.002177,32.703749]","[31.714338,33.288174]","[32.067858,32.931910]","[31.912668,32.884302]","[30.918729,33.793094]"
"[31,32]","[31.592350,33.344652]","[32.537674,32.764343]","[32.328216,33.132903]","[32.524977,32.674316]","[31.251114,33.427524]","[31.682907,32.620089]","[29.488612,34.856800]","[31.970990,32.731582]","[31.711906,33.302538]","[32.081862,32.943210]","[31.948333,32.875220]","[30.936866,33.791353]"
"[32,33]","[31.595715,33.335120]","[32.535849,32.761342]","[32.325495,33.139567]","[32.530351,32.682498]","[31.275122,33.422387]","[31.718609,32.604515]","[29.469601,34.897026]","[31.990769,32.736218]","[31.738276,33.303370]","[32.100394,32.949282]","[31.933974,32.904327]","[30.870637,33.859518]"
"[33,34]","[31.779104,33.215324]","[32.554197,32.779624]","[32.327001,33.144429]","[32.530977,32.676719]","[31.300899,33.403665]","[31.758070,32.592735]","[29.500081,34.903812]","[32.008292,32.750036]","[31.766332,33.298848]","[32.113690,32.965855]","[31.951409,32.937439]","[30.901943,33.896204]"
"[34,35]","[31.798325,33.222102]","[32.558879,32.789629]","[32.330272,33.121363]","[32.501858,32.661667]","[31.142628,33.538729]","[31.820853,32.572103]","[29.755059,34.759187]","[32.126743,32.766008]","[31.838004,33.330418]","[32.131329,32.997414]","[31.921722,32.982604]","[30.919713,33.894217]"
"[35,36]","[31.634654,33.322408]","[32.525935,32.762119]","[32.295488,33.132870]","[32.515246,32.674796]","[31.402703,33.337329]","[31.837275,32.615037]","[29.900426,34.653886]","[32.149397,32.766238]","[31.891379,33.294680]","[32.110913,33.031875]","[31.871297,33.029187]","[30.874174,33.903303]"
"[36,37]","[31.547725,33.367846]","[32.517080,32.748245]","[32.297785,33.140861]","[32.544619,32.684616]","[31.424566,33.368035]","[31.909036,32.595966]","[30.042471,34.560886]","[32.188606,32.773309]","[31.886604,33.338736]","[32.128925,33.034262]","[31.865883,33.025626]","[30.853154,33.889208]"
"[37,38]","[31.494379,33.392725]","[32.518115,32.739927]","[32.325781,33.136505]","[32.554444,32.697100]","[31.268361,33.504256]","[31.869699,32.568039]","[29.771174,34.759030]","[32.195470,32.739435]","[31.925233,33.334264]","[32.143730,33.079709]","[31.859458,33.067270]","[30.843318,33.889453]"
"[38,39]","[31.600987,33.315138]","[32.531113,32.753277]","[32.364873,33.128857]","[32.565438,32.710247]","[31.327280,33.441732]","[31.844387,32.557785]","[29.557318,34.928511]","[32.181257,32.735977]","[31.919302,33.368792]","[32.184930,33.101739]","[31.862431,33.131241]","[30.830779,33.949533]"
"[39,40]","[31.583208,33.297072]","[32.518471,32.741937]","[32.371962,33.158621]","[32.592288,32.738188]","[31.281056,33.460308]","[31.769238,32.467457]","[29.013414,35.226213]","[32.075252,32.646465]","[31.886991,33.351203]","[32.214488,33.148247]","[31.883145,33.206483]","[30.821833,33.985813]"
"[40,41]","[31.624941,33.330716]","[32.525365,32.751720]","[32.341121,33.124716]","[32.559704,32.707247]","[31.377032,33.425055]","[31.890084,32.578470]","[29.831737,34.728369]","[32.193435,32.790413]","[31.960724,33.392760]","[32.210748,33.154840]","[31.858372,33.226912]","[30.866180,33.994249]"
"[41,42]","[31.628450,33.338965]","[32.525139,32.751545]","[32.341106,33.121174]","[32.558272,32.713122]","[31.434362,33.384799]","[31.919155,32.574668]","[29.852490,34.733146]","[32.216099,32.789910]","[31.951397,33.423842]","[32.208874,33.182434]","[31.859201,33.254699]","[30.875049,34.009363]"
"[42,43]","[31.630497,33.319520]","[32.520229,32.749534]","[32.346575,33.128439]","[32.565531,32.724517]","[31.452727,33.369863]","[31.921073,32.555712]","[29.625978,34.940037]","[32.212942,32.795266]","[31.974913,33.431077]","[32.216425,33.215625]","[31.861926,33.275642]","[30.795705,34.084636]"
"[43,44]","[31.646102,33.331911]","[32.518462,32.749348]","[32.332970,33.126507]","[32.559910,32.725921]","[31.470712,33.368953]","[31.939035,32.563578]","[29.659682,34.921132]","[32.184988,32.822061]","[32.041132,33.363890]","[32.216536,33.235740]","[31.874689,33.307720]","[30.840518,34.089302]"
"[44,45]","[31.626324,33.356170]","[32.516337,32.742055]","[32.334622,33.120704]","[32.560297,32.734992]","[31.534197,33.324073]","[31.990950,32.532765]","[29.681029,34.925476]","[32.205765,32.841585]","[32.040951,33.424829]","[32.271883,33.252554]","[31.898161,33.346551]","[30.906942,34.056962]"
"[45,46]","[31.683829,33.360648]","[32.516650,32.762190]","[32.316080,33.104115]","[32.522860,32.710875]","[31.362009,33.461984]","[31.956110,32.596147]","[29.936777,34.751491]","[32.260719,32.880295]","[32.054708,33.482975]","[32.301030,33.274027]","[31.874761,33.422930]","[30.894775,34.136628]"
"[46,47]","[31.611024,33.369545]","[32.501073,32.743841]","[32.302184,33.125207]","[32.546864,32.732126]","[31.681722,33.212527]","[32.008958,32.622196]","[30.118013,34.642306]","[32.249265,32.943090]","[32.056917,33.499692]","[32.286088,33.269271]","[31.693413,33.550305]","[30.858680,34.101402]"
