,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[95,96]","[31.999478,33.986453]","[32.637842,33.480881]","[32.681635,33.731365]","[32.828814,33.749891]","[32.303354,34.206305]","[32.728661,33.645136]","[30.572875,35.845854]","[32.911593,33.782601]","[32.970826,34.006122]","[33.119069,33.860950]","[32.865011,33.775798]","[31.240584,34.959056]"
"[96,97]","[32.024036,33.985145]","[32.678559,33.454999]","[32.732441,33.697912]","[32.846208,33.755506]","[32.345539,34.185251]","[32.774674,33.609310]","[30.336612,36.082348]","[32.941681,33.755597]","[32.989985,34.006981]","[33.155774,33.863622]","[32.907043,33.780582]","[31.287574,34.950373]"
"[97,98]","[32.038928,33.980530]","[32.681550,33.466875]","[32.729716,33.721663]","[32.871321,33.753526]","[32.355240,34.194719]","[32.762528,33.634160]","[30.351311,36.077088]","[32.949417,33.759571]","[33.001504,34.011857]","[33.173681,33.863985]","[32.934783,33.768218]","[31.277595,34.971349]"
"[98,99]","[32.037272,33.992191]","[32.700222,33.461880]","[32.738401,33.737640]","[32.892567,33.770770]","[32.374400,34.221629]","[32.798728,33.639474]","[30.375331,36.080639]","[32.972285,33.750058]","[32.971000,34.048901]","[33.173839,33.871250]","[32.955583,33.757802]","[31.354882,34.904832]"
"[99,100]","[32.068427,34.005465]","[32.728302,33.463894]","[32.756187,33.739493]","[32.910954,33.775972]","[32.406785,34.225279]","[32.815022,33.664245]","[30.364707,36.120872]","[32.999025,33.732910]","[33.050367,33.968481]","[33.173734,33.879605]","[32.983330,33.760212]","[31.275393,35.030549]"
"[100,101]","[32.082319,34.035547]","[32.751047,33.466274]","[32.768243,33.743768]","[32.927947,33.774958]","[32.400855,34.248693]","[32.841175,33.655832]","[30.373147,36.133077]","[32.975075,33.788961]","[33.075259,33.995333]","[33.236862,33.886818]","[33.012613,33.807158]","[31.304166,35.066899]"
"[101,102]","[32.161360,33.971847]","[32.760582,33.480460]","[32.773016,33.739340]","[32.930427,33.750684]","[32.419436,34.221339]","[32.862378,33.671796]","[30.565567,36.017642]","[33.043850,33.792210]","[33.056286,34.036669]","[33.226642,33.865079]","[32.976359,33.795012]","[31.261840,35.087925]"
"[102,103]","[32.093917,34.015347]","[32.748538,33.498280]","[32.792810,33.752736]","[32.996523,33.731836]","[32.365837,34.326929]","[32.890286,33.701551]","[30.712709,35.936952]","[33.071279,33.832972]","[33.037929,34.105927]","[33.235874,33.871356]","[32.980940,33.769739]","[31.235022,35.078253]"
"[103,108]","[32.054084,34.049536]","[32.818646,33.462088]","[32.852627,33.798200]","[33.064302,33.805935]","[32.553860,34.242857]","[32.921956,33.689048]","[30.401208,36.206148]","[33.076642,33.793565]","[33.092167,34.075922]","[33.290380,33.886307]","[33.021664,33.788578]","[31.244393,35.083587]"
"[108,113]","[32.183402,34.051183]","[32.887092,33.490750]","[32.894054,33.820472]","[33.125639,33.803910]","[32.580992,34.300734]","[33.004716,33.720459]","[30.507326,36.219391]","[33.161112,33.808397]","[33.163398,34.083794]","[33.362987,33.897499]","[33.128384,33.793876]","[31.319518,35.144926]"
"[113,118]","[32.167150,34.094710]","[32.924706,33.514973]","[32.943883,33.865257]","[33.227081,33.810041]","[32.629639,34.353869]","[33.065183,33.752577]","[30.576807,36.241606]","[33.228876,33.835446]","[33.179638,34.154861]","[33.421890,33.900538]","[33.159529,33.792784]","[31.305009,35.173415]"
"[118,123]","[32.224896,34.128521]","[32.974096,33.545587]","[32.993467,33.888463]","[33.289501,33.823180]","[32.687646,34.378697]","[33.123681,33.778297]","[30.586128,36.307909]","[33.296112,33.832301]","[33.260900,34.134761]","[33.481649,33.912111]","[33.261845,33.777610]","[31.370007,35.204321]"
"[123,128]","[32.257004,34.161238]","[33.010040,33.572759]","[33.026558,33.918898]","[33.349114,33.832722]","[32.732931,34.410087]","[33.173600,33.807425]","[30.749740,36.216729]","[33.326267,33.862566]","[33.313079,34.133833]","[33.533589,33.910760]","[33.335855,33.760393]","[31.404519,35.232985]"
"[128,133]","[32.333167,34.137031]","[33.051088,33.591267]","[33.070685,33.937929]","[33.410863,33.832612]","[32.775230,34.426999]","[33.217023,33.824495]","[30.834165,36.197603]","[33.401874,33.855493]","[33.364207,34.148071]","[33.575873,33.924960]","[33.383427,33.760897]","[31.450053,35.233811]"
"[133,138]","[32.386833,34.169481]","[33.100782,33.622435]","[33.157378,33.910783]","[33.454470,33.830984]","[32.747246,34.497802]","[33.257638,33.841569]","[30.935152,36.165122]","[33.441848,33.877937]","[33.381864,34.175625]","[33.603890,33.932535]","[33.422678,33.767738]","[31.446420,35.307190]"
"[138,143]","[32.327374,34.223237]","[33.132148,33.633630]","[33.319645,33.852286]","[33.537039,33.872418]","[32.885117,34.444617]","[33.284151,33.835779]","[30.859946,36.227099]","[33.457159,33.867710]","[33.422022,34.181850]","[33.657513,33.940998]","[33.454244,33.770998]","[31.482275,35.267616]"
"[143,148]","[32.415136,34.201877]","[33.156931,33.636093]","[33.143614,34.018749]","[33.540251,33.859572]","[32.863858,34.494028]","[33.321173,33.868970]","[30.974596,36.193189]","[33.497395,33.883298]","[33.438999,34.190466]","[33.684491,33.936706]","[33.492531,33.781684]","[31.515598,35.308249]"
"[148,153]","[32.441348,34.213460]","[33.189608,33.644272]","[33.160445,34.041892]","[33.521011,33.917052]","[32.888713,34.509251]","[33.354808,33.881432]","[31.048398,36.171212]","[33.521919,33.910545]","[33.478746,34.195566]","[33.714570,33.942395]","[33.511674,33.793463]","[31.541796,35.314761]"
"[153,158]","[32.479919,34.214603]","[33.232617,33.656776]","[33.248014,34.018176]","[33.606682,33.887852]","[32.909375,34.526118]","[33.373000,33.883555]","[31.026653,36.208428]","[33.549262,33.905312]","[33.491465,34.213087]","[33.733703,33.954916]","[33.520075,33.813220]","[31.533995,35.351464]"
"[158,163]","[32.492790,34.223719]","[33.253214,33.667916]","[33.241370,34.069603]","[33.635479,33.901033]","[32.903346,34.549082]","[33.366272,33.875160]","[30.863875,36.341254]","[33.535257,33.902872]","[33.512447,34.205374]","[33.697708,34.026487]","[33.530051,33.840606]","[31.538042,35.374075]"
"[163,168]","[32.457960,34.281260]","[33.264040,33.665683]","[33.224511,34.081514]","[33.645151,33.900187]","[32.951310,34.555497]","[33.433240,33.912740]","[31.249136,36.078772]","[33.601253,33.932911]","[33.532296,34.231963]","[33.704796,34.029787]","[33.526472,33.849882]","[31.567296,35.363488]"
"[168,173]","[32.520254,34.246066]","[33.296488,33.664943]","[33.238933,34.105377]","[33.668780,33.909846]","[32.955224,34.563468]","[33.424723,33.906678]","[31.056349,36.244325]","[33.607280,33.910371]","[33.555351,34.218005]","[33.722958,34.042578]","[33.549083,33.864300]","[31.573948,35.388143]"
"[173,178]","[32.543141,34.254442]","[33.323207,33.664862]","[33.250222,34.112196]","[33.685840,33.909424]","[32.971637,34.573901]","[33.447330,33.925617]","[31.140650,36.208148]","[33.648318,33.909921]","[33.569893,34.228874]","[33.737048,34.043824]","[33.552503,33.878167]","[31.587927,35.400457]"
"[178,183]","[32.553505,34.266556]","[33.377234,33.641406]","[33.266724,34.128481]","[33.706793,33.914787]","[32.976944,34.583964]","[33.452853,33.927667]","[31.137709,36.218318]","[33.655841,33.914350]","[33.579747,34.234804]","[33.756492,34.039868]","[33.554693,33.889596]","[31.587606,35.416145]"
"[183,188]","[32.554157,34.264448]","[33.351571,33.663650]","[33.273587,34.127735]","[33.723281,33.916307]","[32.986714,34.595394]","[33.464546,33.929540]","[31.108811,36.250957]","[33.657261,33.915155]","[33.602693,34.222556]","[33.785102,34.031555]","[33.564306,33.900567]","[31.591043,35.422917]"
"[188,193]","[32.332312,34.508293]","[33.378435,33.665073]","[33.315860,34.116494]","[33.712742,33.953793]","[33.008116,34.592769]","[33.485767,33.921230]","[31.120157,36.253086]","[33.638091,33.952992]","[33.648285,34.199859]","[33.836351,34.002779]","[33.610269,33.873768]","[31.450623,35.581393]"
"[193,198]","[32.830244,34.292111]","[33.491219,33.730056]","[33.417741,34.035763]","[33.279757,34.353020]","[33.163940,34.500830]","[33.601398,34.017262]","[32.083879,35.546963]","[33.773726,33.970613]","[33.518414,34.332575]","[33.837541,33.960638]","[33.687150,33.866618]","[31.819612,35.441386]"
